Torneo de Afghanistan, carrera 100 m, Jonielle SMITH, 9799
Torneo de Croatia, carrera 1500 m, Josh KERR, 209517
Torneo de Croatia, carrera 1500 m, Marcin LEWANDOWSKI, 209939
Torneo de Croatia, carrera 1500 m, Sifan HASSAN, 210230
Torneo de Cuba, carrera 1500 m, Rabii DOUKKANA, 209818
Torneo de Cuba, carrera 1500 m, Gabriela DEBUES-STAFFORD, 210681
Torneo de Cuba, carrera 1500 m, Marcin LEWANDOWSKI, 211628
Torneo de Cyprus, carrera 1500 m, Dawit SEYAUM, 209517
Torneo de Cyprus, carrera 1500 m, Rababe ARAFI, 209821
Torneo de Cyprus, carrera 1500 m, Laura MUIR, 209913
Torneo de Czechia, carrera 1500 m, Winnie NANYONDO, 209224
Torneo de Czechia, carrera 1500 m, George Meitamei MANANGOI, 210112
Torneo de Czechia, carrera 1500 m, Elijah Motonei MANANGOI, 212178
Torneo de Denmark, carrera 1500 m, Charlie DAVALL GRICE, 208792
Torneo de Denmark, carrera 1500 m, Abdelaati IGUIDER, 208993
Torneo de Denmark, carrera 1500 m, Ronald KWEMOI, 209025
Torneo de Djibouti, carrera 1500 m, Laura MUIR, 209259
Torneo de Djibouti, carrera 1500 m, Winny CHEBET, 209901
Torneo de Djibouti, carrera 1500 m, Nikki HILTZ, 209953
Torneo de Dominica, carrera 1500 m, Abdelaati IGUIDER, 209141
Torneo de Dominica, carrera 1500 m, Timothy CHERUIYOT, 209706
Torneo de Dominica, carrera 1500 m, George Meitamei MANANGOI, 209723
Torneo de Dominican Republic, carrera 1500 m, Taoufik MAKHLOUFI, 208784
Torneo de Dominican Republic, carrera 1500 m, Samuel TEFERA, 209604
Torneo de Dominican Republic, carrera 1500 m, Josh KERR, 209939
Torneo de Ecuador, carrera 1500 m, Taoufik MAKHLOUFI, 209251
Torneo de Ecuador, carrera 1500 m, Vincent KIBET, 209586
Torneo de Ecuador, carrera 1500 m, Rabii DOUKKANA, 209629
Torneo de Egypt, carrera 1500 m, Shelby HOULIHAN, 209005
Torneo de Egypt, carrera 1500 m, Nikki HILTZ, 210053
Torneo de Egypt, carrera 1500 m, Sifan HASSAN, 210643
Torneo de El Salvador, carrera 1500 m, Charlie DAVALL GRICE, 209007
Torneo de El Salvador, carrera 1500 m, Ronald MUSAGALA, 209365
Torneo de El Salvador, carrera 1500 m, Jenny SIMPSON, 210024
Torneo de Equatorial Guinea, carrera 1500 m, Sifan HASSAN, 208876
Torneo de Equatorial Guinea, carrera 1500 m, Rababe ARAFI, 208987
Torneo de Equatorial Guinea, carrera 1500 m, Genzebe DIBABA, 209374
Torneo de Eritrea, carrera 1500 m, Shannon OSIKA, 209373
Torneo de Eritrea, carrera 1500 m, Jakob INGEBRIGTSEN, 209670
Torneo de Eritrea, carrera 1500 m, Jake WIGHTMAN, 210518
Torneo de Estonia, carrera 1500 m, Shelby HOULIHAN, 208954
Torneo de Estonia, carrera 1500 m, Nikki HILTZ, 209120
Torneo de Estonia, carrera 1500 m, Josh KERR, 210108
Torneo de Ethiopia, carrera 1500 m, Jake WIGHTMAN, 208980
Torneo de Ethiopia, carrera 1500 m, George Meitamei MANANGOI, 209656
Torneo de Ethiopia, carrera 1500 m, Timothy CHERUIYOT, 210303
Torneo de Fiji, carrera 1500 m, Taoufik MAKHLOUFI, 208785
Torneo de Fiji, carrera 1500 m, Nikki HILTZ, 209212
Torneo de Fiji, carrera 1500 m, Filip INGEBRIGTSEN, 210190
Torneo de Finland, carrera 1500 m, Josh KERR, 208786
Torneo de Finland, carrera 1500 m, Faith KIPYEGON, 208809
Torneo de Finland, carrera 1500 m, Charlie DAVALL GRICE, 209280
Torneo de France, carrera 1500 m, Josh KERR, 209155
Torneo de France, carrera 1500 m, Charlie DAVALL GRICE, 210297
Torneo de France, carrera 1500 m, Konstanze KLOSTERHALFEN, 210439
Torneo de French Guiana, carrera 1500 m, Shelby HOULIHAN, 209970
Torneo de French Guiana, carrera 1500 m, Axumawit EMBAYE, 210591
Torneo de French Guiana, carrera 1500 m, Ronald MUSAGALA, 211062
Torneo de Gabon, carrera 1500 m, Winnie NANYONDO, 209211
Torneo de Gabon, carrera 1500 m, Konstanze KLOSTERHALFEN, 209351
Torneo de Gabon, carrera 1500 m, Josh KERR, 209558
Torneo de Gambia, carrera 1500 m, Shannon OSIKA, 208909
Torneo de Gambia, carrera 1500 m, Winny CHEBET, 209047
Torneo de Gambia, carrera 1500 m, Stewart MCSWEYN, 209667
Torneo de Georgia, carrera 1500 m, Stewart MCSWEYN, 208872
Torneo de Georgia, carrera 1500 m, Vincent KIBET, 208988
Torneo de Georgia, carrera 1500 m, Timothy CHERUIYOT, 209414
Torneo de Germany, carrera 1500 m, Abdelaati IGUIDER, 208933
Torneo de Germany, carrera 1500 m, Samuel TEFERA, 209244
Torneo de Germany, carrera 1500 m, Sifan HASSAN, 209514
Torneo de Ghana, carrera 1500 m, Sarah MCDONALD, 209783
Torneo de Ghana, carrera 1500 m, Nikki HILTZ, 210091
Torneo de Ghana, carrera 1500 m, Ronald MUSAGALA, 210577
Torneo de Greece, carrera 1500 m, Stewart MCSWEYN, 209403
Torneo de Greece, carrera 1500 m, Sarah MCDONALD, 209489
Torneo de Greece, carrera 1500 m, Ronald KWEMOI, 210914
Torneo de Grenada, carrera 1500 m, Marcin LEWANDOWSKI, 210837
Torneo de Grenada, carrera 1500 m, Sarah MCDONALD, 211022
Torneo de Grenada, carrera 1500 m, Rababe ARAFI, 211060
Torneo de Guatemala, carrera 1500 m, Charlie DAVALL GRICE, 208780
Torneo de Guatemala, carrera 1500 m, Stewart MCSWEYN, 209769
Torneo de Guatemala, carrera 1500 m, Gabriela DEBUES-STAFFORD, 209901
Torneo de Guinea, carrera 1500 m, Stewart MCSWEYN, 209073
Torneo de Guinea, carrera 1500 m, Winny CHEBET, 209290
Torneo de Guinea, carrera 1500 m, George Meitamei MANANGOI, 209373
Torneo de Guinea-Bissau, carrera 1500 m, Eilish MCCOLGAN, 209599
Torneo de Guinea-Bissau, carrera 1500 m, Shelby HOULIHAN, 209912
Torneo de Guinea-Bissau, carrera 1500 m, Josh KERR, 210144
Torneo de Guyana, carrera 1500 m, Josh KERR, 210606
Torneo de Guyana, carrera 1500 m, Gudaf TSEGAY, 210875
Torneo de Guyana, carrera 1500 m, Nikki HILTZ, 210935
Torneo de Haiti, carrera 1500 m, Gabriela DEBUES-STAFFORD, 209454
Torneo de Haiti, carrera 1500 m, Winny CHEBET, 209977
Torneo de Haiti, carrera 1500 m, Gudaf TSEGAY, 210756
Torneo de Honduras, carrera 1500 m, Eilish MCCOLGAN, 209902
Torneo de Honduras, carrera 1500 m, Shannon OSIKA, 209919
Torneo de Honduras, carrera 1500 m, Sifan HASSAN, 210244
Torneo de Hungary, carrera 1500 m, Rabii DOUKKANA, 208988
Torneo de Hungary, carrera 1500 m, Konstanze KLOSTERHALFEN, 209053
Torneo de Hungary, carrera 1500 m, Rababe ARAFI, 209327
Torneo de Iceland, carrera 1500 m, Jakob INGEBRIGTSEN, 209058
Torneo de Iceland, carrera 1500 m, Taoufik MAKHLOUFI, 212047
Torneo de Iceland, carrera 1500 m, Abdelaati IGUIDER, 212687
Torneo de India, carrera 1500 m, Gabriela DEBUES-STAFFORD, 209148
Torneo de India, carrera 1500 m, Sarah MCDONALD, 209934
Torneo de India, carrera 1500 m, Marcin LEWANDOWSKI, 210756
Torneo de Indonesia, carrera 1500 m, Bethwell BIRGEN, 209650
Torneo de Indonesia, carrera 1500 m, Ciara MAGEEAN, 209884
Torneo de Indonesia, carrera 1500 m, Laura WEIGHTMAN, 210030
Torneo de Iran, carrera 1500 m, Charlie DAVALL GRICE, 208927
Torneo de Iran, carrera 1500 m, Taoufik MAKHLOUFI, 209032
Torneo de Iran, carrera 1500 m, Winny CHEBET, 209306
Torneo de Iraq, carrera 1500 m, Winnie NANYONDO, 209030
Torneo de Iraq, carrera 1500 m, Abdelaati IGUIDER, 209210
Torneo de Iraq, carrera 1500 m, Filip INGEBRIGTSEN, 209908
Torneo de Ireland, carrera 1500 m, Stewart MCSWEYN, 209131
Torneo de Ireland, carrera 1500 m, Faith KIPYEGON, 210161
Torneo de Ireland, carrera 1500 m, Rabii DOUKKANA, 210313
Torneo de Israel, carrera 1500 m, Filip INGEBRIGTSEN, 209035
Torneo de Israel, carrera 1500 m, Laura WEIGHTMAN, 210558
Torneo de Israel, carrera 1500 m, Dawit SEYAUM, 210806
Torneo de Italy, carrera 1500 m, Laura MUIR, 209050
Torneo de Italy, carrera 1500 m, Taoufik MAKHLOUFI, 209519
Torneo de Italy, carrera 1500 m, Eilish MCCOLGAN, 210780
Torneo de Ivory Coast, carrera 1500 m, Eilish MCCOLGAN, 209751
Torneo de Ivory Coast, carrera 1500 m, Bethwell BIRGEN, 209865
Torneo de Ivory Coast, carrera 1500 m, Taoufik MAKHLOUFI, 210344
Torneo de Jamaica, carrera 1500 m, Jakob INGEBRIGTSEN, 208949
Torneo de Jamaica, carrera 1500 m, Stewart MCSWEYN, 209485
Torneo de Jamaica, carrera 1500 m, Abdelaati IGUIDER, 211030
Torneo de Japan, carrera 1500 m, Laura MUIR, 209657
Torneo de Japan, carrera 1500 m, Abdelaati IGUIDER, 210356
Torneo de Japan, carrera 1500 m, Samuel TEFERA, 210746
Torneo de Jordan, carrera 1500 m, Jake WIGHTMAN, 209027
Torneo de Jordan, carrera 1500 m, Ronald MUSAGALA, 209587
Torneo de Jordan, carrera 1500 m, Timothy CHERUIYOT, 210262
Torneo de Kazakhstan, carrera 1500 m, Stewart MCSWEYN, 209750
Torneo de Kazakhstan, carrera 1500 m, Genzebe DIBABA, 210111
Torneo de Kazakhstan, carrera 1500 m, Gabriela DEBUES-STAFFORD, 210211
Torneo de Kenya, carrera 1500 m, Filip INGEBRIGTSEN, 209276
Torneo de Kenya, carrera 1500 m, Ayanleh SOULEIMAN, 209863
Torneo de Kenya, carrera 1500 m, Ronald MUSAGALA, 210067
Torneo de Kiribati, carrera 1500 m, Taoufik MAKHLOUFI, 208905
Torneo de Kiribati, carrera 1500 m, Sarah MCDONALD, 211704
Torneo de Kiribati, carrera 1500 m, Laura MUIR, 212426
Torneo de Kosovo, carrera 1500 m, Gudaf TSEGAY, 208900
Torneo de Kosovo, carrera 1500 m, Laura WEIGHTMAN, 208935
Torneo de Kosovo, carrera 1500 m, Rabii DOUKKANA, 210488
Torneo de Kuwait, carrera 1500 m, Gabriela DEBUES-STAFFORD, 208819
Torneo de Kuwait, carrera 1500 m, Laura WEIGHTMAN, 209108
Torneo de Kuwait, carrera 1500 m, Timothy CHERUIYOT, 210240
Torneo de Kyrgyzstan, carrera 1500 m, Matthew CENTROWITZ, 209127
Torneo de Kyrgyzstan, carrera 1500 m, Marcin LEWANDOWSKI, 212321
Torneo de Kyrgyzstan, carrera 1500 m, Bethwell BIRGEN, 212787
Torneo de Laos, carrera 1500 m, Winny CHEBET, 209774
Torneo de Laos, carrera 1500 m, Jakob INGEBRIGTSEN, 210392
Torneo de Laos, carrera 1500 m, Ronald KWEMOI, 212635
Torneo de Latvia, carrera 1500 m, Shannon OSIKA, 209609
Torneo de Latvia, carrera 1500 m, Timothy CHERUIYOT, 209610
Torneo de Latvia, carrera 1500 m, Winnie NANYONDO, 209651
Torneo de Lebanon, carrera 1500 m, Genzebe DIBABA, 208918
Torneo de Lebanon, carrera 1500 m, Ronald KWEMOI, 209362
Torneo de Lebanon, carrera 1500 m, Gabriela DEBUES-STAFFORD, 209495
Torneo de Lesotho, carrera 1500 m, Nikki HILTZ, 208920
Torneo de Lesotho, carrera 1500 m, Winny CHEBET, 209147
Torneo de Lesotho, carrera 1500 m, Winnie NANYONDO, 209413
Torneo de Liberia, carrera 1500 m, Rabii DOUKKANA, 211180
Torneo de Liberia, carrera 1500 m, Abdelaati IGUIDER, 211762
Torneo de Liberia, carrera 1500 m, Sarah MCDONALD, 212056
Torneo de Libya, carrera 1500 m, Rabii DOUKKANA, 209139
Torneo de Libya, carrera 1500 m, Bethwell BIRGEN, 210157
Torneo de Libya, carrera 1500 m, Laura MUIR, 210355
Torneo de Liechtenstein, carrera 1500 m, Abdelaati IGUIDER, 209027
Torneo de Liechtenstein, carrera 1500 m, Eilish MCCOLGAN, 209661
Torneo de Liechtenstein, carrera 1500 m, Jenny SIMPSON, 210719
Torneo de Lithuania, carrera 1500 m, Jake WIGHTMAN, 209024
Torneo de Lithuania, carrera 1500 m, Shelby HOULIHAN, 209072
Torneo de Lithuania, carrera 1500 m, Gabriela DEBUES-STAFFORD, 209214
Torneo de Luxembourg, carrera 1500 m, Bethwell BIRGEN, 209094
Torneo de Luxembourg, carrera 1500 m, Taoufik MAKHLOUFI, 209125
Torneo de Luxembourg, carrera 1500 m, Samuel TEFERA, 209299
Torneo de Macedonia, carrera 1500 m, Gabriela DEBUES-STAFFORD, 209271
Torneo de Macedonia, carrera 1500 m, Jenny SIMPSON, 209297
Torneo de Macedonia, carrera 1500 m, Filip INGEBRIGTSEN, 209453
Torneo de Madagascar, carrera 1500 m, Shelby HOULIHAN, 208773
Torneo de Madagascar, carrera 1500 m, Ronald MUSAGALA, 210440
Torneo de Madagascar, carrera 1500 m, Laura MUIR, 210755
Torneo de Malawi, carrera 1500 m, Matthew CENTROWITZ, 208854
Torneo de Malawi, carrera 1500 m, Sarah MCDONALD, 209145
Torneo de Malawi, carrera 1500 m, Rababe ARAFI, 211896
Torneo de Malaysia, carrera 1500 m, Stewart MCSWEYN, 208801
Torneo de Malaysia, carrera 1500 m, Sarah MCDONALD, 209173
Torneo de Malaysia, carrera 1500 m, Ciara MAGEEAN, 209475
Torneo de Maldives, carrera 1500 m, Stewart MCSWEYN, 208788
Torneo de Maldives, carrera 1500 m, Bethwell BIRGEN, 209436
Torneo de Maldives, carrera 1500 m, Matthew CENTROWITZ, 210096
Torneo de Mali, carrera 1500 m, Jenny SIMPSON, 208884
Torneo de Mali, carrera 1500 m, Laura MUIR, 209263
Torneo de Mali, carrera 1500 m, Dawit SEYAUM, 209970
Torneo de Malta, carrera 1500 m, Samuel TEFERA, 208888
Torneo de Malta, carrera 1500 m, Matthew CENTROWITZ, 209319
Torneo de Malta, carrera 1500 m, Ronald MUSAGALA, 209882
Torneo de Marshall Islands, carrera 1500 m, Konstanze KLOSTERHALFEN, 208859
Torneo de Marshall Islands, carrera 1500 m, Laura WEIGHTMAN, 209014
Torneo de Marshall Islands, carrera 1500 m, Marcin LEWANDOWSKI, 209960
Torneo de Mauritania, carrera 1500 m, Konstanze KLOSTERHALFEN, 210002
Torneo de Mauritania, carrera 1500 m, Jakob INGEBRIGTSEN, 210512
Torneo de Mauritania, carrera 1500 m, Charlie DAVALL GRICE, 210545
Torneo de Mauritius, carrera 1500 m, George Meitamei MANANGOI, 210145
Torneo de Mauritius, carrera 1500 m, Marcin LEWANDOWSKI, 211171
Torneo de Mauritius, carrera 1500 m, Jenny SIMPSON, 211192
Torneo de Mexico, carrera 1500 m, Eilish MCCOLGAN, 210138
Torneo de Mexico, carrera 1500 m, Marcin LEWANDOWSKI, 210334
Torneo de Mexico, carrera 1500 m, Winny CHEBET, 210365
Torneo de Micronesia, carrera 1500 m, Sifan HASSAN, 208873
Torneo de Micronesia, carrera 1500 m, Gudaf TSEGAY, 211200
Torneo de Micronesia, carrera 1500 m, Rabii DOUKKANA, 211583
Torneo de Moldova, carrera 1500 m, Konstanze KLOSTERHALFEN, 208857
Torneo de Moldova, carrera 1500 m, Winny CHEBET, 209313
Torneo de Moldova, carrera 1500 m, Samuel TEFERA, 210893
Torneo de Monaco, carrera 1500 m, Dawit SEYAUM, 209409
Torneo de Monaco, carrera 1500 m, Gudaf TSEGAY, 209931
Torneo de Monaco, carrera 1500 m, Ronald KWEMOI, 210375
Torneo de Mongolia, carrera 1500 m, Laura WEIGHTMAN, 208792
Torneo de Mongolia, carrera 1500 m, Ayanleh SOULEIMAN, 208842
Torneo de Mongolia, carrera 1500 m, Axumawit EMBAYE, 208867
Torneo de Montenegro, carrera 1500 m, Sarah MCDONALD, 209680
Torneo de Montenegro, carrera 1500 m, Matthew CENTROWITZ, 209703
Torneo de Montenegro, carrera 1500 m, Dawit SEYAUM, 210180
Torneo de Morocco, carrera 1500 m, Gudaf TSEGAY, 208792
Torneo de Morocco, carrera 1500 m, Konstanze KLOSTERHALFEN, 208815
Torneo de Morocco, carrera 1500 m, Sifan HASSAN, 210181
Torneo de Mozambique, carrera 1500 m, Charlie DAVALL GRICE, 209035
Torneo de Mozambique, carrera 1500 m, Faith KIPYEGON, 209339
Torneo de Mozambique, carrera 1500 m, Abdelaati IGUIDER, 209884
Torneo de Myanmar, carrera 1500 m, Winny CHEBET, 209322
Torneo de Myanmar, carrera 1500 m, Faith KIPYEGON, 209820
Torneo de Myanmar, carrera 1500 m, Bethwell BIRGEN, 210486
Torneo de Namibia, carrera 1500 m, Gudaf TSEGAY, 210662
Torneo de Namibia, carrera 1500 m, Sarah MCDONALD, 210823
Torneo de Namibia, carrera 1500 m, Ronald KWEMOI, 210993
Torneo de Nauru, carrera 1500 m, Jenny SIMPSON, 208900
Torneo de Nauru, carrera 1500 m, Sifan HASSAN, 208914
Torneo de Nauru, carrera 1500 m, Laura MUIR, 209151
Torneo de Nepal, carrera 1500 m, Winny CHEBET, 209955
Torneo de Nepal, carrera 1500 m, Matthew CENTROWITZ, 209976
Torneo de Nepal, carrera 1500 m, Sifan HASSAN, 210473
Torneo de Netherlands, carrera 1500 m, Genzebe DIBABA, 209450
Torneo de Netherlands, carrera 1500 m, Shelby HOULIHAN, 209498
Torneo de Netherlands, carrera 1500 m, Gudaf TSEGAY, 209678
Torneo de New Zealand, carrera 1500 m, Sarah MCDONALD, 209997
Torneo de New Zealand, carrera 1500 m, Matthew CENTROWITZ, 213002
Torneo de New Zealand, carrera 1500 m, Gabriela DEBUES-STAFFORD, 213028
Torneo de Nicaragua, carrera 1500 m, Rabii DOUKKANA, 208895
Torneo de Nicaragua, carrera 1500 m, Gudaf TSEGAY, 209324
Torneo de Nicaragua, carrera 1500 m, Sarah MCDONALD, 209404
Torneo de Niger, carrera 1500 m, Matthew CENTROWITZ, 208772
Torneo de Niger, carrera 1500 m, Rababe ARAFI, 209136
Torneo de Niger, carrera 1500 m, Sifan HASSAN, 209190
Torneo de Nigeria, carrera 1500 m, Eilish MCCOLGAN, 208909
Torneo de Nigeria, carrera 1500 m, Filip INGEBRIGTSEN, 209372
Torneo de Nigeria, carrera 1500 m, Ronald MUSAGALA, 209623
Torneo de North Korea, carrera 1500 m, Jakob INGEBRIGTSEN, 209441
Torneo de North Korea, carrera 1500 m, Laura WEIGHTMAN, 209453
Torneo de North Korea, carrera 1500 m, Winny CHEBET, 209708
Torneo de Northern Ireland, carrera 1500 m, Winnie NANYONDO, 208997
Torneo de Northern Ireland, carrera 1500 m, Stewart MCSWEYN, 209236
Torneo de Northern Ireland, carrera 1500 m, Nikki HILTZ, 210476
Torneo de Norway, carrera 1500 m, Marcin LEWANDOWSKI, 208843
Torneo de Norway, carrera 1500 m, Elijah Motonei MANANGOI, 208954
Torneo de Norway, carrera 1500 m, Ronald MUSAGALA, 210047
Torneo de Oman, carrera 1500 m, Dawit SEYAUM, 208772
Torneo de Oman, carrera 1500 m, Jakob INGEBRIGTSEN, 209074
Torneo de Oman, carrera 1500 m, Vincent KIBET, 209559
Torneo de Pakistan, carrera 1500 m, Samuel TEFERA, 209952
Torneo de Pakistan, carrera 1500 m, Winnie NANYONDO, 210147
Torneo de Pakistan, carrera 1500 m, Rabii DOUKKANA, 210460
Torneo de Palau, carrera 1500 m, Sifan HASSAN, 209196
Torneo de Palau, carrera 1500 m, Samuel TEFERA, 209553
Torneo de Palau, carrera 1500 m, Ayanleh SOULEIMAN, 210112
Torneo de Panama, carrera 1500 m, Charlie DAVALL GRICE, 211065
Torneo de Panama, carrera 1500 m, Konstanze KLOSTERHALFEN, 211214
Torneo de Panama, carrera 1500 m, Winny CHEBET, 211421
Torneo de Papua New Guinea, carrera 1500 m, Abdelaati IGUIDER, 208795
Torneo de Papua New Guinea, carrera 1500 m, Bethwell BIRGEN, 209471
Torneo de Papua New Guinea, carrera 1500 m, Laura WEIGHTMAN, 209831
Torneo de Paraguay, carrera 1500 m, Rababe ARAFI, 208917
Torneo de Paraguay, carrera 1500 m, Konstanze KLOSTERHALFEN, 210471
Torneo de Paraguay, carrera 1500 m, Gabriela DEBUES-STAFFORD, 210637
Torneo de Peru, carrera 1500 m, Sarah MCDONALD, 208794
Torneo de Peru, carrera 1500 m, Ciara MAGEEAN, 209283
Torneo de Peru, carrera 1500 m, Gudaf TSEGAY, 209669
Torneo de Philippines, carrera 1500 m, Winny CHEBET, 209357
Torneo de Philippines, carrera 1500 m, Shannon OSIKA, 209465
Torneo de Philippines, carrera 1500 m, Gabriela DEBUES-STAFFORD, 210145
Torneo de Poland, carrera 1500 m, Bethwell BIRGEN, 209301
Torneo de Poland, carrera 1500 m, Genzebe DIBABA, 209444
Torneo de Poland, carrera 1500 m, Jake WIGHTMAN, 209532
Torneo de Portugal, carrera 1500 m, Winnie NANYONDO, 209000
Torneo de Portugal, carrera 1500 m, Josh KERR, 209147
Torneo de Portugal, carrera 1500 m, Dawit SEYAUM, 209164
Torneo de Puerto Rico, carrera 1500 m, Faith KIPYEGON, 209972
Torneo de Puerto Rico, carrera 1500 m, Vincent KIBET, 210589
Torneo de Puerto Rico, carrera 1500 m, Shelby HOULIHAN, 212467
Torneo de Qatar, carrera 1500 m, Dawit SEYAUM, 209852
Torneo de Qatar, carrera 1500 m, Winnie NANYONDO, 210006
Torneo de Qatar, carrera 1500 m, Taoufik MAKHLOUFI, 211066
Torneo de Romania, carrera 1500 m, Sifan HASSAN, 209204
Torneo de Romania, carrera 1500 m, Jenny SIMPSON, 209706
Torneo de Romania, carrera 1500 m, Konstanze KLOSTERHALFEN, 210267
Torneo de Russia, carrera 1500 m, Josh KERR, 210141
Torneo de Russia, carrera 1500 m, Ayanleh SOULEIMAN, 210772
Torneo de Russia, carrera 1500 m, Ronald MUSAGALA, 210785
Torneo de Rwanda, carrera 1500 m, Ronald MUSAGALA, 209395
Torneo de Rwanda, carrera 1500 m, Gabriela DEBUES-STAFFORD, 211544
Torneo de Rwanda, carrera 1500 m, Genzebe DIBABA, 213489
Torneo de Saint Kitts and Nevis, carrera 1500 m, Winnie NANYONDO, 209604
Torneo de Saint Kitts and Nevis, carrera 1500 m, Laura MUIR, 209818
Torneo de Saint Kitts and Nevis, carrera 1500 m, Elijah Motonei MANANGOI, 210005
Torneo de Saint Lucia, carrera 1500 m, Matthew CENTROWITZ, 211005
Torneo de Saint Lucia, carrera 1500 m, Jenny SIMPSON, 211844
Torneo de Saint Lucia, carrera 1500 m, Abdelaati IGUIDER, 212534
Torneo de Saint Vincent and the Grenadines, carrera 1500 m, Laura MUIR, 209289
Torneo de Saint Vincent and the Grenadines, carrera 1500 m, Abdelaati IGUIDER, 209390
Torneo de Saint Vincent and the Grenadines, carrera 1500 m, Shelby HOULIHAN, 209691
Torneo de Samoa, carrera 1500 m, Bethwell BIRGEN, 209428
Torneo de Samoa, carrera 1500 m, Marcin LEWANDOWSKI, 210202
Torneo de Samoa, carrera 1500 m, Shelby HOULIHAN, 212300
Torneo de San Marino, carrera 1500 m, Rababe ARAFI, 208782
Torneo de San Marino, carrera 1500 m, George Meitamei MANANGOI, 209318
Torneo de San Marino, carrera 1500 m, Ronald KWEMOI, 209399
Torneo de Sao Tome and Principe, carrera 1500 m, Matthew CENTROWITZ, 210568
Torneo de Sao Tome and Principe, carrera 1500 m, Stewart MCSWEYN, 210898
Torneo de Sao Tome and Principe, carrera 1500 m, Ronald MUSAGALA, 210942
Torneo de Saudi Arabia, carrera 1500 m, Timothy CHERUIYOT, 208983
Torneo de Saudi Arabia, carrera 1500 m, George Meitamei MANANGOI, 208986
Torneo de Saudi Arabia, carrera 1500 m, Ronald KWEMOI, 209412
Torneo de Scotland, carrera 1500 m, Josh KERR, 209636
Torneo de Scotland, carrera 1500 m, Vincent KIBET, 209816
Torneo de Scotland, carrera 1500 m, Matthew CENTROWITZ, 210135
Torneo de Senegal, carrera 1500 m, Abdelaati IGUIDER, 208990
Torneo de Senegal, carrera 1500 m, Charlie DAVALL GRICE, 209107
Torneo de Senegal, carrera 1500 m, Bethwell BIRGEN, 209214
Torneo de Serbia, carrera 1500 m, Timothy CHERUIYOT, 210006
Torneo de Serbia, carrera 1500 m, Abdelaati IGUIDER, 210135
Torneo de Serbia, carrera 1500 m, Jenny SIMPSON, 210527
Torneo de Seychelles, carrera 1500 m, Dawit SEYAUM, 208840
Torneo de Seychelles, carrera 1500 m, Winnie NANYONDO, 210779
Torneo de Seychelles, carrera 1500 m, Winny CHEBET, 211383
Torneo de Sierra Leone, carrera 1500 m, Ronald MUSAGALA, 208813
Torneo de Sierra Leone, carrera 1500 m, Taoufik MAKHLOUFI, 209326
Torneo de Sierra Leone, carrera 1500 m, Laura MUIR, 209471
Torneo de Singapore, carrera 1500 m, Ayanleh SOULEIMAN, 209579
Torneo de Singapore, carrera 1500 m, Charlie DAVALL GRICE, 209580
Torneo de Singapore, carrera 1500 m, Nikki HILTZ, 211012
Torneo de Slovakia, carrera 1500 m, Shannon OSIKA, 209379
Torneo de Slovakia, carrera 1500 m, Jenny SIMPSON, 209551
Torneo de Slovakia, carrera 1500 m, Nikki HILTZ, 210464
Torneo de Slovenia, carrera 1500 m, George Meitamei MANANGOI, 209284
Torneo de Slovenia, carrera 1500 m, Shelby HOULIHAN, 210488
Torneo de Slovenia, carrera 1500 m, Stewart MCSWEYN, 210784
Torneo de Solomon Islands, carrera 1500 m, Matthew CENTROWITZ, 208880
Torneo de Solomon Islands, carrera 1500 m, Vincent KIBET, 209162
Torneo de Solomon Islands, carrera 1500 m, Jake WIGHTMAN, 210568
Torneo de Somalia, carrera 1500 m, Nikki HILTZ, 208922
Torneo de Somalia, carrera 1500 m, Ciara MAGEEAN, 209052
Torneo de Somalia, carrera 1500 m, Winny CHEBET, 210078
Torneo de South Africa, carrera 1500 m, Bethwell BIRGEN, 209205
Torneo de South Africa, carrera 1500 m, Winnie NANYONDO, 209266
Torneo de South Africa, carrera 1500 m, Gabriela DEBUES-STAFFORD, 209786
Torneo de South Korea, carrera 1500 m, Winnie NANYONDO, 209427
Torneo de South Korea, carrera 1500 m, George Meitamei MANANGOI, 209689
Torneo de South Korea, carrera 1500 m, Rababe ARAFI, 209744
Torneo de South Sudan, carrera 1500 m, Sifan HASSAN, 208771
Torneo de South Sudan, carrera 1500 m, Shannon OSIKA, 209273
Torneo de South Sudan, carrera 1500 m, Winny CHEBET, 210536
Torneo de Spain, carrera 1500 m, Josh KERR, 209232
Torneo de Spain, carrera 1500 m, Bethwell BIRGEN, 209290
Torneo de Spain, carrera 1500 m, Ciara MAGEEAN, 210223
Torneo de Sri Lanka, carrera 1500 m, Bethwell BIRGEN, 208848
Torneo de Sri Lanka, carrera 1500 m, Jenny SIMPSON, 209234
Torneo de Sri Lanka, carrera 1500 m, Dawit SEYAUM, 210229
Torneo de Sudan, carrera 1500 m, Laura WEIGHTMAN, 211999
Torneo de Sudan, carrera 1500 m, Jakob INGEBRIGTSEN, 212305
Torneo de Sudan, carrera 1500 m, Abdelaati IGUIDER, 212574
Torneo de Suriname, carrera 1500 m, Ayanleh SOULEIMAN, 208843
Torneo de Suriname, carrera 1500 m, Vincent KIBET, 209818
Torneo de Suriname, carrera 1500 m, Laura WEIGHTMAN, 209935
Torneo de Sweden, carrera 1500 m, Stewart MCSWEYN, 208865
Torneo de Sweden, carrera 1500 m, Filip INGEBRIGTSEN, 209665
Torneo de Sweden, carrera 1500 m, Matthew CENTROWITZ, 209788
